Major,Early Career Pay,Mid-Career Pay,Spread
Computer Networking Systems,67100.0,115600.0,48500.0
Crop Science,56400.0,104800.0,48400.0
Biosystems Engineering,74800.0,123000.0,48200.0
Telecommunications Management,64700.0,112900.0,48200.0
Organizational Psychology,58100.0,106300.0,48200.0
Architecture,60000.0,108100.0,48100.0
Geology,57800.0,105900.0,48100.0
Metallurgical Engineering,93200.0,141300.0,48100.0
Business Computer Information Systems (BCIS),76500.0,124500.0,48000.0
Microbiology,56800.0,104800.0,48000.0
Government & Politics,62100.0,110000.0,47900.0
German Language,60600.0,108300.0,47700.0
Accounting & Finance,69100.0,116700.0,47600.0
Advertising & Marketing Communications,56800.0,104100.0,47300.0
Cell & Molecular Biology,59800.0,107000.0,47200.0
Pharmaceutical Sciences (PS),62000.0,109200.0,47200.0
Corporate Communications,57300.0,104300.0,47000.0
Genetics,63200.0,110100.0,46900.0
Data Processing,75900.0,122800.0,46900.0
Environmental Health,58500.0,105300.0,46800.0
Finance & Banking,65100.0,111800.0,46700.0
Astrophysics,81600.0,128300.0,46700.0
Writing,51400.0,98100.0,46700.0
Safety Science,72600.0,119200.0,46600.0
Theatre & Drama Studies,54800.0,101400.0,46600.0
Network Engineering,71500.0,118000.0,46500.0
Networks & Telecommunications,64600.0,111100.0,46500.0
Agricultural Engineering (AE),73500.0,119900.0,46400.0
Computing,73400.0,119800.0,46400.0
Cinema Studies,54800.0,101200.0,46400.0
Accounting & Auditing,67600.0,113900.0,46300.0
Computer Science & Information Technology,76300.0,122500.0,46200.0
Sales & Marketing,62800.0,109000.0,46200.0
Industrial Management,67800.0,113900.0,46100.0
Strategic Management,76400.0,122400.0,46000.0
Natural Sciences,51600.0,97500.0,45900.0
Computer Engineering Technology (CET),72900.0,118800.0,45900.0
Museum Studies,44200.0,90100.0,45900.0
Construction Science,79800.0,125600.0,45800.0
Engineering Technology (ET),67600.0,113400.0,45800.0
International Studies,58100.0,103800.0,45700.0
Philosophy,62700.0,108400.0,45700.0
Architectural Design,52000.0,97600.0,45600.0
Information Technology Management,74100.0,119700.0,45600.0
Mechanical Design,70000.0,115500.0,45500.0
Industrial Distribution,73600.0,118900.0,45300.0
Control Engineering,80000.0,125300.0,45300.0
Textile & Apparel Studies,55000.0,100300.0,45300.0
Environmental Engineering,72600.0,117700.0,45100.0
Advertising & Promotion,55100.0,100200.0,45100.0
Marketing Management,60900.0,105900.0,45000.0
Information Technology (IT),69800.0,114800.0,45000.0
Computer Information Systems,67100.0,111900.0,44800.0
Advertising Design,63200.0,108000.0,44800.0
Engineering Management,79400.0,124200.0,44800.0
Painting & Printmaking,40500.0,85100.0,44600.0
Corporate Finance,74500.0,119100.0,44600.0
Microbiology & Immunology,65400.0,110000.0,44600.0
Agricultural Science,55100.0,99700.0,44600.0
Risk Management,65700.0,110200.0,44500.0
Journalism & Mass Communication,54500.0,99000.0,44500.0
Civil Engineering Technology (CET),67900.0,112400.0,44500.0
Industrial Design (ID),64600.0,109000.0,44400.0
Manufacturing Engineering,79800.0,124200.0,44400.0
Information Security,76400.0,120700.0,44300.0
Computer Graphics Technology (CGT),59400.0,103700.0,44300.0
Philosophy & Religion,51200.0,95400.0,44200.0
Arts Management,46400.0,90500.0,44100.0
English Literature,55600.0,99700.0,44100.0
Accounting,64200.0,108300.0,44100.0
Operations Management (OM),72100.0,116200.0,44100.0
Architectural Studies,52500.0,96500.0,44000.0
Digital Media,53200.0,97200.0,44000.0
Environmental Science,57800.0,101600.0,43800.0
Fashion Design,55500.0,99300.0,43800.0
Interior Architecture,55300.0,99000.0,43700.0
Occupational Health and Safety,69000.0,112700.0,43700.0
Public Relations & Communication,53200.0,96900.0,43700.0
Organizational Behavior,65200.0,108800.0,43600.0
Broadcast & Cinematic Arts,49400.0,93000.0,43600.0
Electrical Engineering Technology (EET),76100.0,119600.0,43500.0
Product Design,72100.0,115600.0,43500.0
Architectural Engineering,76400.0,119800.0,43400.0
Environmental Biology,52100.0,95500.0,43400.0
Design,62400.0,105800.0,43400.0
Biological Sciences,58600.0,101900.0,43300.0
Administration of Justice,52800.0,96000.0,43200.0
Music Technology,53000.0,96200.0,43200.0
Journalism,54200.0,97400.0,43200.0
Applied Networking & Systems Administration,67500.0,110700.0,43200.0
Occupational Therapy (OT),63500.0,106700.0,43200.0
Environmental Health & Safety,66500.0,109600.0,43100.0
Accounting & Management,63900.0,107000.0,43100.0
Interpersonal Communications,51500.0,94600.0,43100.0
Construction Engineering,78300.0,121300.0,43000.0
History & Politics,56500.0,99400.0,42900.0
Computer Programming,68800.0,111700.0,42900.0
Magazine Journalism,56400.0,99300.0,42900.0
Advertising & Marketing,57000.0,99800.0,42800.0
Integrated Marketing Communications,55100.0,97900.0,42800.0
Professional Studies,49900.0,92600.0,42700.0
Public Relations (PR),53500.0,96100.0,42600.0
Organizational Communication,54100.0,96600.0,42500.0
Communication Studies & Journalism,52700.0,95100.0,42400.0
Mechanical Engineering Technology (MET),74200.0,116500.0,42300.0
Urban & Regional Planning,61700.0,103800.0,42100.0
German Studies,58600.0,100600.0,42000.0
Automotive Technology,57300.0,99300.0,42000.0
Financial Accounting,65600.0,107500.0,41900.0
Architectural Technology,57400.0,99200.0,41800.0
Land Surveying,59400.0,101200.0,41800.0
International Affairs,60300.0,102100.0,41800.0
Literature,54800.0,96500.0,41700.0
Agriculture,55100.0,96500.0,41400.0
Publishing,54000.0,95300.0,41300.0
Information Technology (IT) & Systems,72000.0,113300.0,41300.0
Communication,56900.0,98100.0,41200.0
Accounts,69100.0,110200.0,41100.0
Drama,57300.0,98400.0,41100.0
Computer & Network Administration,65700.0,106800.0,41100.0
Computer Animation,54800.0,95800.0,41000.0
Food Science,62500.0,103400.0,40900.0
Physics & Astronomy,67800.0,108600.0,40800.0
Marketing & Mass Communications,56500.0,97300.0,40800.0
Business Communication,60000.0,100800.0,40800.0
Journalism & Electronic Media,53100.0,93900.0,40800.0
Aviation Maintenance Technology,59000.0,99700.0,40700.0
Biology,55300.0,96000.0,40700.0
Entrepreneurship,63600.0,104300.0,40700.0
Operations & Supply Chain Management,71500.0,112200.0,40700.0
Marine Biology,49800.0,90300.0,40500.0
Software Applications & Programming,73700.0,114100.0,40400.0
Computer Aided Drafting & Design (CADD),58000.0,98400.0,40400.0
Zoology,48200.0,88600.0,40400.0
Safety Management,69300.0,109700.0,40400.0
Supply Chain Management,71300.0,111500.0,40200.0
Urban Studies,59500.0,99700.0,40200.0
French Language,57800.0,98000.0,40200.0
Geological Engineering,70500.0,110600.0,40100.0
Insurance,66100.0,106200.0,40100.0
Biology & Chemistry,57300.0,97300.0,40000.0
Sports Management,53000.0,93000.0,40000.0
Human Biology,59500.0,99400.0,39900.0
Project Management,66500.0,106400.0,39900.0
Management,59800.0,99600.0,39800.0
Apparel & Textile Manufacture,55800.0,95400.0,39600.0
Digital Arts,52000.0,91600.0,39600.0
Professional & Technical Writing,57300.0,96900.0,39600.0
Architectural Engineering Technology,55400.0,94900.0,39500.0
History,56200.0,95600.0,39400.0
Allied Health,51300.0,90700.0,39400.0
Media Arts,52800.0,92000.0,39200.0
Physiology,57100.0,96300.0,39200.0
Network Security,69900.0,109100.0,39200.0
Personal Financial Planning,62700.0,101900.0,39200.0
General Science,58300.0,97400.0,39100.0
English Language,52800.0,91800.0,39000.0
American Sign Language Interpreting,52700.0,91600.0,38900.0
Sociology & Organizational Studies,63800.0,102500.0,38700.0
Speech Communication,54500.0,93200.0,38700.0
Mass Communication,52400.0,91000.0,38600.0
City & Regional Planning,61600.0,100200.0,38600.0
American History (United States),60700.0,99200.0,38500.0
Electronic Media,52200.0,90700.0,38500.0
Network Administration,56000.0,94400.0,38400.0
Textile Design,58400.0,96800.0,38400.0
Radio/Television & Film Production,52800.0,91200.0,38400.0
Environmental & Natural Resource Economics,60600.0,98800.0,38200.0
Forestry,54000.0,92200.0,38200.0
Transportation & Logistics Management,67700.0,105800.0,38100.0
Math & Science,65900.0,104000.0,38100.0
Music Performance,53400.0,91500.0,38100.0
General Business,58000.0,96100.0,38100.0
Construction Science & Management,75700.0,113700.0,38000.0
Environmental Studies,57000.0,95000.0,38000.0
Business Management,60800.0,98600.0,37800.0
Neuroscience,60900.0,98700.0,37800.0
Film Production,51800.0,89600.0,37800.0
Fashion,56700.0,94400.0,37700.0
Broadcast Communication,48700.0,86400.0,37700.0
Risk Management & Insurance,69700.0,107400.0,37700.0
Applied Behavior Analysis,44700.0,82400.0,37700.0
Applied Technology,67500.0,105200.0,37700.0
Animation,52400.0,89900.0,37500.0
International Trade & Business,62800.0,100300.0,37500.0
Linguistics,60800.0,98200.0,37400.0
Global Business Management,65700.0,103100.0,37400.0
Applied Management,50600.0,88000.0,37400.0
Business Administration & Accounting,61600.0,98900.0,37300.0
Visual Effects & Motion Graphics,55900.0,93200.0,37300.0
Religious Studies,53000.0,90300.0,37300.0
History & Political Science,58900.0,96100.0,37200.0
Broadcast Journalism,51100.0,88300.0,37200.0
General & Strategic Management,57300.0,94400.0,37100.0
Pre-Medicine,59100.0,96200.0,37100.0
Liberal Arts,54300.0,91400.0,37100.0
Construction Engineering Technology,65700.0,102700.0,37000.0
Environmental Geography,58300.0,95200.0,36900.0
Textile Technology,62300.0,99200.0,36900.0
Ministry,42700.0,79600.0,36900.0
Business Administration,62100.0,99000.0,36900.0
Organizational Development,62300.0,99100.0,36800.0
Media Studies,58800.0,95500.0,36700.0
Environmental Management,59100.0,95700.0,36600.0
French Studies,60700.0,97300.0,36600.0
Leadership,55600.0,92100.0,36500.0
Public Affairs,61100.0,97500.0,36400.0
Public Administration,55000.0,91400.0,36400.0
Electronics Engineering Technology (EET),74500.0,110800.0,36300.0
Personnel Management,59600.0,95900.0,36300.0
Multimedia,52700.0,89000.0,36300.0
Atmospheric Science,57300.0,93600.0,36300.0
Foreign Languages,56200.0,92500.0,36300.0
Computer Art,45400.0,81600.0,36200.0
Industrial Technology (IT),74100.0,110300.0,36200.0
Administration,49700.0,85800.0,36100.0
Agricultural Communication,52400.0,88400.0,36000.0
English Language & Literature,54200.0,90200.0,36000.0
Art Therapy,47500.0,83400.0,35900.0
Information Systems Security,66200.0,102100.0,35900.0
Retailing,57300.0,93200.0,35900.0
Geographic Information Systems (GIS),58000.0,93800.0,35800.0
Mass Media,47100.0,82900.0,35800.0
Fashion Merchandising,55200.0,91000.0,35800.0
Merchandising Management,55800.0,91600.0,35800.0
New Media Design,64900.0,100600.0,35700.0
Computer Security,78500.0,114100.0,35600.0
Human Resources Management (HRM),56100.0,91600.0,35500.0
Meteorology,54400.0,89800.0,35400.0
Law,61600.0,96700.0,35100.0
Drawing,44300.0,79300.0,35000.0
Creative Writing,52800.0,87700.0,34900.0
Information & Communication Technology,55500.0,90100.0,34600.0
Organizational Leadership & Supervision,56200.0,90700.0,34500.0
Sociology & Anthropology,53300.0,87800.0,34500.0
Art History,55300.0,89800.0,34500.0
Logistics,67900.0,102300.0,34400.0
Business Leadership,57600.0,92000.0,34400.0
Agribusiness Management,60400.0,94700.0,34300.0
Spanish Language,56300.0,90500.0,34200.0
Retail & Consumer Science,61600.0,95800.0,34200.0
Communication Arts,49600.0,83800.0,34200.0
Sports Administration,52500.0,86500.0,34000.0
Health & Fitness,45300.0,79200.0,33900.0
Business Data Analysis,74800.0,108700.0,33900.0
Geography,58300.0,92100.0,33800.0
Manufacturing Management,73200.0,107000.0,33800.0
Retail Merchandising,60900.0,94600.0,33700.0
Criminal Justice Administration,53700.0,87300.0,33600.0
Marine Science,53600.0,87200.0,33600.0
Geosciences,57800.0,91400.0,33600.0
Web & Digital Media Development,62700.0,96200.0,33500.0
