Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Mean
157,Computer Information Systems (CIS),Bachelors,71700.0,121000.0,48.0
158,Information Security,Bachelors,76400.0,120700.0,40.0
158,Japanese Language,Bachelors,62100.0,120700.0,39.0
160,East Asian Studies,Bachelors,60100.0,120400.0,50.0
162,European History,Bachelors,62700.0,120000.0,39.0
163,Agricultural Engineering (AE),Bachelors,73500.0,119900.0,60.0
164,Architectural Engineering,Bachelors,76400.0,119800.0,58.0
164,Entrepreneurship & Leadership,Bachelors,67000.0,119800.0,42.0
164,Computing,Bachelors,73400.0,119800.0,56.0
167,Information Technology Management,Bachelors,74100.0,119700.0,50.0
168,Electrical Engineering Technology (EET),Bachelors,76100.0,119600.0,49.0
169,Chinese Language,Bachelors,62700.0,119500.0,42.0
170,Business Finance,Bachelors,67100.0,119400.0,44.0
171,Sales & Business Marketing,Bachelors,67000.0,119300.0,53.0
172,Safety Science,Bachelors,72600.0,119200.0,67.0
173,Corporate Finance,Bachelors,74500.0,119100.0,40.0
174,Industrial Distribution,Bachelors,73600.0,118900.0,48.0
175,Computer Engineering Technology (CET),Bachelors,72900.0,118800.0,44.0
176,Dairy Science,Bachelors,60100.0,118300.0,68.0
177,Japanese Studies,Bachelors,59700.0,118100.0,18.0
178,Network Engineering,Bachelors,71500.0,118000.0,51.0
179,Environmental Engineering,Bachelors,72600.0,117700.0,61.0
181,Robotics,Bachelors,91100.0,117400.0,57.0
182,Biotechnology,Bachelors,63000.0,116900.0,61.0
183,Accounting & Finance,Bachelors,69100.0,116700.0,46.0
184,Mechanical Engineering Technology (MET),Bachelors,74200.0,116500.0,49.0
185,Operations Management (OM),Bachelors,72100.0,116200.0,44.0
186,Food Science & Technology,Bachelors,61700.0,116100.0,49.0
187,Agricultural Economics & Business,Bachelors,63700.0,115800.0,56.0
188,Biochemistry (BCH),Bachelors,58900.0,115600.0,64.0
188,Computer Networking Systems,Bachelors,67100.0,115600.0,49.0
188,Product Design,Bachelors,72100.0,115600.0,38.0
191,Mechanical Design,Bachelors,70000.0,115500.0,50.0
192,Labor Relations,Bachelors,59500.0,115300.0,42.0
192,Information Assurance,Bachelors,63500.0,115300.0,60.0
195,Environmental Policy Analysis & Planning,Bachelors,60800.0,114900.0,68.0
196,Information Technology (IT),Bachelors,69800.0,114800.0,47.0
196,International Development Studies,Bachelors,57200.0,114800.0,62.0
198,Rhetoric,Bachelors,60300.0,114700.0,42.0
199,Aviation Management,Bachelors,58900.0,114600.0,58.0
199,Consumer Economics,Bachelors,62400.0,114600.0,45.0
201,Electromechanical Engineering,Bachelors,82400.0,114500.0,62.0
201,Informatics,Bachelors,81600.0,114500.0,45.0
203,Computer Security,Bachelors,78500.0,114100.0,40.0
203,Software Applications & Programming,Bachelors,73700.0,114100.0,33.0
203,Business & Marketing,Bachelors,61400.0,114100.0,47.0
207,Accounting & Auditing,Bachelors,67600.0,113900.0,42.0
207,Industrial Management,Bachelors,67800.0,113900.0,51.0
210,Politics,Bachelors,61300.0,113800.0,50.0
211,Construction Science & Management,Bachelors,75700.0,113700.0,73.0
211,Political Science/Public Law,Bachelors,60000.0,113700.0,70.0
211,Government & International Politics (GVIP),Bachelors,60700.0,113700.0,43.0
215,Aviation Flight Science (AFL),Bachelors,64200.0,113500.0,49.0
216,Engineering Technology (ET),Bachelors,67600.0,113400.0,50.0
217,Information Technology (IT) & Systems,Bachelors,72000.0,113300.0,48.0
218,Telecommunications Management,Bachelors,64700.0,112900.0,44.0
219,Agribusiness,Bachelors,58600.0,112700.0,54.0
219,Occupational Health and Safety,Bachelors,69000.0,112700.0,69.0
219,Physical Therapy,Bachelors,57500.0,112700.0,88.0
222,Industrial Safety,Bachelors,61100.0,112600.0,80.0
222,Music Production & Engineering,Bachelors,55100.0,112600.0,51.0
224,Business & Finance,Bachelors,63400.0,112400.0,56.0
224,Civil Engineering Technology (CET),Bachelors,67900.0,112400.0,60.0
226,Chemistry,Bachelors,60200.0,112300.0,56.0
226,French Literature,Bachelors,56300.0,112300.0,50.0
228,Operations & Supply Chain Management,Bachelors,71500.0,112200.0,45.0
229,Computer Information Systems,Bachelors,67100.0,111900.0,45.0
229,Marketing,Bachelors,60200.0,111900.0,41.0
231,Finance & Banking,Bachelors,65100.0,111800.0,46.0
232,Computer Programming,Bachelors,68800.0,111700.0,50.0
233,Marketing & Management,Bachelors,59700.0,111500.0,47.0
233,Supply Chain Management,Bachelors,71300.0,111500.0,42.0
235,Technical Communication,Bachelors,57200.0,111400.0,44.0
236,Cell Biology,Bachelors,58500.0,111300.0,59.0
237,Networks & Telecommunications,Bachelors,64600.0,111100.0,49.0
238,Electronics Engineering Technology (EET),Bachelors,74500.0,110800.0,50.0
239,Biopsychology,Bachelors,61600.0,110700.0,74.0
239,Applied Networking & Systems Administration,Bachelors,67500.0,110700.0,48.0
241,Geological Engineering,Bachelors,70500.0,110600.0,50.0
242,Business Management & Marketing,Bachelors,58700.0,110500.0,46.0
242,Spanish Literature,Bachelors,59500.0,110500.0,48.0
